tweet,label,emotion,misinformation,topic,language
Two doses done! I can now breathe easier in crowded places,positive,,,,
Vaccine procurement process under review by parliamentary committee,neutral,,,,
Vaccines save lives and protect our families from deadly diseases,positive,,,,
Vaccination campaign coverage to be tracked using new digital tool,neutral,,,,
"India's COVAXIN got WHO EUL approval, this is great news",positive,,,,
Third dose registration now open on Cowin portal for eligible,neutral,,,,
State government compiled quarterly report on vaccination coverage,neutral,,,,
Vaccines have helped India control second wave effectively,positive,,,,
Government announced new vaccine registration guidelines today,neutral,,,,
BCG vaccine has saved millions of lives in India since decades,positive,,,,
Annual immunization schedule released by health department today,neutral,,,,
"India exports vaccines to other countries, we should be proud",positive,,,,
Vaccine trial results to be published in medical journal next month,neutral,,,,
"Heard that some vaccines cause blood clots, this is very dangerous",negative,,,,
Vaccination camps organized by RWA in our colony was very helpful,positive,,,,
Vaccine certificate now linked with DigiLocker for easy access,neutral,,,,
Vaccine awareness drive launched in schools by health department,neutral,,,,
Third dose registration now open on Cowin portal for eligible,neutral,,,,
AIIMS doctors recommend vaccination for all eligible individuals,positive,,,,
Side effects from vaccine affected my work for three days,negative,,,,
Vaccines are the greatest medical achievement of the 20th century,positive,,,,
Long waiting time at vaccination center is a big problem,negative,,,,
Vaccination numbers released by state government for last month,neutral,,,,
Health ministry released new data on vaccine distribution numbers,neutral,,,,
Vaccination drive started in our district today as per schedule,neutral,,,,
Corporate companies profiting too much from pandemic vaccines,negative,,,,
Health ministry clarified guidelines on vaccine mixing protocols,neutral,,,,
BCG vaccine has saved millions of lives in India since decades,positive,,,,
Vaccine shortage in our district is creating panic and frustration,negative,,,,
Digital vaccine certificate from Cowin is very convenient,positive,,,,
Why is booster dose needed so soon after full vaccination,negative,,,,
Vaccine logistics management discussed in inter-ministerial meeting,neutral,,,,
Vaccines are the greatest medical achievement of the 20th century,positive,,,,
Survey on vaccine hesitancy conducted by university researchers,neutral,,,,
Vaccination data privacy concerns are completely ignored by authorities,negative,,,,
Vaccine mandate is oppressive and violates individual rights,negative,,,,
Health ministry released new data on vaccine distribution numbers,neutral,,,,
My elderly mother fainted at vaccination center due to heat,negative,,,,
Vaccination drive started in our district today as per schedule,neutral,,,,
Cowin portal made vaccine registration very easy and accessible,positive,,,,
"Thanks to vaccination drive in India, polio is now eradicated",positive,,,,
Why are private hospitals charging so much for vaccines,negative,,,,
Research paper on vaccine effectiveness published by ICMR scientists,neutral,,,,
New guidelines on vaccine administration for pregnant women issued,neutral,,,,
"Got vaccinated today at local PHC, process was smooth and quick",positive,,,,
Pulse Polio campaign is a massive success story for India,positive,,,,
Forced vaccination is against personal freedom and human rights,negative,,,,
Vaccine cold chain management review conducted by ICMR team,neutral,,,,
"Cowin website keeps crashing, very frustrating experience",negative,,,,
Free vaccination for BPL families is an excellent government step,positive,,,,
Why is booster dose needed so soon after full vaccination,negative,,,,
My parents trusted science and got vaccinated without hesitation,positive,,,,
Covaxin made in India is a matter of national pride,positive,,,,
"Thanks to vaccination drive in India, polio is now eradicated",positive,,,,
Government announced new vaccine registration guidelines today,neutral,,,,
Health ministry clarified guidelines on vaccine mixing protocols,neutral,,,,
Getting vaccinated is a social responsibility we all must fulfil,positive,,,,
"Science has given us vaccines, let us use them wisely",positive,,,,
National immunization week observed across India with campaigns,neutral,,,,
National immunization week observed across India with campaigns,neutral,,,,
"My grandmother got vaccinated at 80, she feels protected now",positive,,,,
CoWIN app updated with new features for vaccine certificate download,neutral,,,,
"Thanks to vaccination drive in India, polio is now eradicated",positive,,,,
"Got vaccinated today at local PHC, process was smooth and quick",positive,,,,
Vaccination camps organized by RWA in our colony was very helpful,positive,,,,
Vaccine rollout was poorly planned in our municipality,negative,,,,
CoWIN app updated with new features for vaccine certificate download,neutral,,,,
"Some batches of vaccines were found to be contaminated, scary",negative,,,,
Vaccination numbers released by state government for last month,neutral,,,,
Children vaccines causing autism is a genuine concern for parents,negative,,,,
Forced vaccination is against personal freedom and human rights,negative,,,,
Healthcare infrastructure for vaccine rollout is completely inadequate,negative,,,,
The speed of India's vaccine rollout is amazing and inspiring,positive,,,,
Doctors attending seminar on latest vaccine developments today,neutral,,,,
Children vaccines causing autism is a genuine concern for parents,negative,,,,
Vaccine education programs in schools should be encouraged more,positive,,,,
Government announced new vaccine registration guidelines today,neutral,,,,
"Got vaccinated today at local PHC, process was smooth and quick",positive,,,,
Vaccine drives by Indian government are truly commendable,positive,,,,
"My arm swelled badly after vaccination, doctor was not available",negative,,,,
Government reviewing vaccine pricing structure for private sector,neutral,,,,
Why are some vaccine batches giving different reactions to people,negative,,,,
Vaccines have helped India control second wave effectively,positive,,,,
Black market for vaccines is proof the system is deeply broken,negative,,,,
No proper follow-up system after vaccination for monitoring,negative,,,,
Pulse Polio campaign is a massive success story for India,positive,,,,
Health ministry released new data on vaccine distribution numbers,neutral,,,,
Children are now safer thanks to childhood immunization programs,positive,,,,
"Heard so many bad stories about vaccine reactions, I am worried",negative,,,,
Corporate companies profiting too much from pandemic vaccines,negative,,,,
Nationwide survey on vaccine awareness to be conducted in January,neutral,,,,
Why is there no proper information about vaccine ingredients given,negative,,,,
Precautionary dose now available at government hospitals nearby,neutral,,,,
I lost trust in vaccines after reading about Thalidomide scandal,negative,,,,
Vaccine protects not just you but also elderly people around you,positive,,,,
"Took both doses of Covishield, side effects were mild and temporary",positive,,,,
"Took vaccine, mild fever for one day, totally worth it for safety",positive,,,,
Covaxin made in India is a matter of national pride,positive,,,,
Why should I trust a vaccine made in just one year of research,negative,,,,
Government hospitals to stock new batch of vaccines from next week,neutral,,,,
Rich countries hoarding vaccines while poor countries suffer,negative,,,,
Vaccine procurement process under review by parliamentary committee,neutral,,,,
Children vaccines causing autism is a genuine concern for parents,negative,,,,
Healthcare infrastructure for vaccine rollout is completely inadequate,negative,,,,
Vaccine certificate now linked with DigiLocker for easy access,neutral,,,,
Vaccine procurement committee meeting held by central government,neutral,,,,
Black market for vaccines is proof the system is deeply broken,negative,,,,
Vaccination data being analyzed to understand coverage patterns,neutral,,,,
"Took vaccine, mild fever for one day, totally worth it for safety",positive,,,,
Frontline workers vaccinated first was the right priority decision,positive,,,,
Rural areas have no proper cold storage for vaccine distribution,negative,,,,
Health ministry clarified guidelines on vaccine mixing protocols,neutral,,,,
India's Jan Aushadhi and vaccination scheme helping poor families,positive,,,,
Digital vaccine certificate from Cowin is very convenient,positive,,,,
Black market for vaccines is proof the system is deeply broken,negative,,,,
I lost trust in vaccines after reading about Thalidomide scandal,negative,,,,
Government issued advisory on vaccine storage temperature requirements,neutral,,,,
District health officer reviewed vaccination progress this week,neutral,,,,
Mobile vaccination units deployed in urban slums this week,neutral,,,,
New vaccination center opened near railway station from Monday,neutral,,,,
Government data on vaccine side effects is not transparent enough,negative,,,,
Vaccine awareness drive launched in schools by health department,neutral,,,,
Vaccine procurement committee meeting held by central government,neutral,,,,
Vaccine shortage in our district is creating panic and frustration,negative,,,,
NTAGI meeting held to discuss updated vaccine schedule protocol,neutral,,,,
Parliamentary debate on national vaccine policy scheduled next week,neutral,,,,
Long waiting time at vaccination center is a big problem,negative,,,,
Vaccine manufacturing capacity in India increased by thirty percent,neutral,,,,
BCG vaccine has saved millions of lives in India since decades,positive,,,,
Too much political interference in vaccine approval process,negative,,,,
Vaccine rollout was poorly planned in our municipality,negative,,,,
Two doses done! I can now breathe easier in crowded places,positive,,,,
No compensation system for vaccine injury victims in India,negative,,,,
Vaccine cold chain management review conducted by ICMR team,neutral,,,,
NTAGI meeting held to discuss updated vaccine schedule protocol,neutral,,,,
Vaccine adverse event reporting system updated with new features,neutral,,,,
BCG vaccine has saved millions of lives in India since decades,positive,,,,
Why is there no proper information about vaccine ingredients given,negative,,,,
The speed of India's vaccine rollout is amazing and inspiring,positive,,,,
NTAGI meeting held to discuss updated vaccine schedule protocol,neutral,,,,
Vaccination data being analyzed to understand coverage patterns,neutral,,,,
Vaccine cold chain management review conducted by ICMR team,neutral,,,,
Trust deficit in government health programs is a real problem,negative,,,,
Rural areas have no proper cold storage for vaccine distribution,negative,,,,
WHO released updated guidelines on COVID vaccine booster doses,neutral,,,,
"India achieved 1 billion vaccine doses milestone, historic moment",positive,,,,
Health ministry clarified guidelines on vaccine mixing protocols,neutral,,,,
Annual immunization schedule released by health department today,neutral,,,,
Doctors attending seminar on latest vaccine developments today,neutral,,,,
"India achieved 1 billion vaccine doses milestone, historic moment",positive,,,,
Government hospitals to stock new batch of vaccines from next week,neutral,,,,
Vaccine queue at government hospital was chaotic and mismanaged,negative,,,,
India's Jan Aushadhi and vaccination scheme helping poor families,positive,,,,
New vaccination center opened near railway station from Monday,neutral,,,,
I lost trust in vaccines after reading about Thalidomide scandal,negative,,,,
"Vaccine efficacy drops over time, what is the point then",negative,,,,
Survey on vaccine hesitancy conducted by university researchers,neutral,,,,
Covaxin made in India is a matter of national pride,positive,,,,
"Got vaccinated today at local PHC, process was smooth and quick",positive,,,,
Vaccine adverse event reporting system updated with new features,neutral,,,,
Annual immunization schedule released by health department today,neutral,,,,
Vaccine supply chain audit underway in northern states this month,neutral,,,,
Community health workers doing great job promoting vaccination,positive,,,,
"My grandmother got vaccinated at 80, she feels protected now",positive,,,,
New mRNA vaccine technology being studied by Indian researchers,neutral,,,,
Frontline workers vaccinated first was the right priority decision,positive,,,,
Nationwide survey on vaccine awareness to be conducted in January,neutral,,,,
"Got vaccinated at age 65, doctor said it is very important",positive,,,,
India's vaccination rate has improved drastically this year,positive,,,,
Academic study on vaccine acceptance patterns among rural youth,neutral,,,,
Government announced new vaccine registration guidelines today,neutral,,,,
Vaccine hesitancy is reducing gradually in Indian villages,positive,,,,
International health organizations monitoring India vaccine rollout,neutral,,,,
BCG vaccine has saved millions of lives in India since decades,positive,,,,
"My arm swelled badly after vaccination, doctor was not available",negative,,,,
"Took vaccine, mild fever for one day, totally worth it for safety",positive,,,,
Survey on vaccine hesitancy conducted by university researchers,neutral,,,,
"Vaccine efficacy drops over time, what is the point then",negative,,,,
Government hospitals to stock new batch of vaccines from next week,neutral,,,,
Free vaccination camps in rural areas is a great initiative,positive,,,,
State government compiled quarterly report on vaccination coverage,neutral,,,,
"I developed fever and body pain after second dose, very unwell",negative,,,,
Vaccines save lives and protect our families from deadly diseases,positive,,,,
Vaccine education programs in schools should be encouraged more,positive,,,,
Vaccine procurement committee meeting held by central government,neutral,,,,
Vaccine rollout was poorly planned in our municipality,negative,,,,
NTAGI meeting held to discuss updated vaccine schedule protocol,neutral,,,,
Vaccine distribution in remote villages is really impressive,positive,,,,
Booster dose important for elderly and immunocompromised people,positive,,,,
Vaccine data from third world countries is not taken seriously,negative,,,,
Frontline workers vaccinated first was the right priority decision,positive,,,,
"I developed fever and body pain after second dose, very unwell",negative,,,,
Health department organized orientation for new vaccination workers,neutral,,,,
Vaccination camps organized by RWA in our colony was very helpful,positive,,,,
Why is there still no transparency about clinical trial data,negative,,,,
Academic study on vaccine acceptance patterns among rural youth,neutral,,,,
New vaccine for rotavirus included in national immunization program,neutral,,,,
Forced vaccination is against personal freedom and human rights,negative,,,,
WHO released updated guidelines on COVID vaccine booster doses,neutral,,,,
Vaccine mandate is oppressive and violates individual rights,negative,,,,
Why is there still no transparency about clinical trial data,negative,,,,
Vaccine education programs in schools should be encouraged more,positive,,,,
New guidelines on vaccine administration for pregnant women issued,neutral,,,,
Vaccine adverse event reporting system updated with new features,neutral,,,,
Survey on vaccine hesitancy conducted by university researchers,neutral,,,,
"Science has given us vaccines, let us use them wisely",positive,,,,
Why are private hospitals charging so much for vaccines,negative,,,,
Fake vaccine certificates being sold openly is a serious issue,negative,,,,
"Got my flu vaccine, highly recommend everyone to do the same",positive,,,,
The whole vaccine drive feels like a political gimmick to me,negative,,,,
Vaccine manufacturing capacity in India increased by thirty percent,neutral,,,,
Vaccine creates antibodies that protect us from serious illness,positive,,,,
"Took vaccine, mild fever for one day, totally worth it for safety",positive,,,,
Serum Institute to produce additional doses for export programs,neutral,,,,
Academic study on vaccine acceptance patterns among rural youth,neutral,,,,
Cowin portal made vaccine registration very easy and accessible,positive,,,,
"Heard that some vaccines cause blood clots, this is very dangerous",negative,,,,
Vaccination records can now be downloaded via Aarogya Setu app,neutral,,,,
Long waiting time at vaccination center is a big problem,negative,,,,
Vaccination records can now be downloaded via Aarogya Setu app,neutral,,,,
Vaccine logistics management discussed in inter-ministerial meeting,neutral,,,,
Why should I trust a vaccine made in just one year of research,negative,,,,
"Vaccine efficacy drops over time, what is the point then",negative,,,,
Vaccine cold chain management review conducted by ICMR team,neutral,,,,
Vaccine drives by Indian government are truly commendable,positive,,,,
The whole vaccine drive feels like a political gimmick to me,negative,,,,
Government data on vaccine side effects is not transparent enough,negative,,,,
Government announced new vaccine registration guidelines today,neutral,,,,
Vaccination data privacy concerns are completely ignored by authorities,negative,,,,
"I developed fever and body pain after second dose, very unwell",negative,,,,
Corporate companies profiting too much from pandemic vaccines,negative,,,,
"India's COVAXIN got WHO EUL approval, this is great news",positive,,,,
Vaccines have helped India control second wave effectively,positive,,,,
Survey on vaccine hesitancy conducted by university researchers,neutral,,,,
Vaccine distribution in remote villages is really impressive,positive,,,,
Vaccination camp organized by local NGO in tribal belt area,neutral,,,,
"India achieved 1 billion vaccine doses milestone, historic moment",positive,,,,
Vaccine mandate is oppressive and violates individual rights,negative,,,,
Serum Institute to produce additional doses for export programs,neutral,,,,
"Doctor explained vaccine benefits clearly, I am fully convinced",positive,,,,
Getting vaccinated is a social responsibility we all must fulfil,positive,,,,
Free vaccination for BPL families is an excellent government step,positive,,,,
Vaccine nationalism is preventing global herd immunity from forming,negative,,,,
Vaccination data being analyzed to understand coverage patterns,neutral,,,,
New vaccination center opened near railway station from Monday,neutral,,,,
Side effects from vaccine affected my work for three days,negative,,,,
Health ministry clarified guidelines on vaccine mixing protocols,neutral,,,,
The vaccine distribution is very unequal between rich and poor areas,negative,,,,
Fake vaccine certificates being sold openly is a serious issue,negative,,,,
Vaccine adverse event reporting system updated with new features,neutral,,,,
I lost trust in vaccines after reading about Thalidomide scandal,negative,,,,
Forced vaccination is against personal freedom and human rights,negative,,,,
People in my village refused vaccine due to wrong information,negative,,,,
Cowin portal made vaccine registration very easy and accessible,positive,,,,
Vaccination data being analyzed to understand coverage patterns,neutral,,,,
School vaccination programs are essential for public health,positive,,,,
CoWIN app updated with new features for vaccine certificate download,neutral,,,,
District health officer reviewed vaccination progress this week,neutral,,,,
Government hospitals to stock new batch of vaccines from next week,neutral,,,,
Vaccines save lives and protect our families from deadly diseases,positive,,,,
AIIMS doctors recommend vaccination for all eligible individuals,positive,,,,
Vaccines are the greatest medical achievement of the 20th century,positive,,,,
No proper follow-up system after vaccination for monitoring,negative,,,,
Two doses done! I can now breathe easier in crowded places,positive,,,,
Mobile vaccination units deployed in urban slums this week,neutral,,,,
Booster dose important for elderly and immunocompromised people,positive,,,,
Medical experts panel formed to study post-vaccination effects data,neutral,,,,
Vaccine procurement committee meeting held by central government,neutral,,,,
Children vaccines causing autism is a genuine concern for parents,negative,,,,
The whole vaccine drive feels like a political gimmick to me,negative,,,,
Vaccination data privacy concerns are completely ignored by authorities,negative,,,,
Vaccination is the only way to achieve herd immunity in India,positive,,,,
New vaccination center opened near railway station from Monday,neutral,,,,
Vaccine cold chain management review conducted by ICMR team,neutral,,,,
Two doses done! I can now breathe easier in crowded places,positive,,,,
Health worker training program for vaccine administration ongoing,neutral,,,,
The whole vaccine drive feels like a political gimmick to me,negative,,,,
Government issued advisory on vaccine storage temperature requirements,neutral,,,,
Rich countries hoarding vaccines while poor countries suffer,negative,,,,
Waste of vaccines due to poor storage management in many centers,negative,,,,
My elderly mother fainted at vaccination center due to heat,negative,,,,
India's vaccination rate has improved drastically this year,positive,,,,
Vaccination camps organized by RWA in our colony was very helpful,positive,,,,
Vaccine certificate now linked with DigiLocker for easy access,neutral,,,,
Vaccine certificate now linked with DigiLocker for easy access,neutral,,,,
Waste of vaccines due to poor storage management in many centers,negative,,,,
Vaccination campaign coverage to be tracked using new digital tool,neutral,,,,
My elderly mother fainted at vaccination center due to heat,negative,,,,
"Science has given us vaccines, let us use them wisely",positive,,,,
Health worker training program for vaccine administration ongoing,neutral,,,,
HPV vaccine rollout for adolescent girls discussed in health meet,neutral,,,,
Vaccine shortage in our district is creating panic and frustration,negative,,,,
Healthcare infrastructure for vaccine rollout is completely inadequate,negative,,,,
Government hospitals to stock new batch of vaccines from next week,neutral,,,,
Health ministry released new data on vaccine distribution numbers,neutral,,,,
"Thanks to vaccination drive in India, polio is now eradicated",positive,,,,
Vaccination is the only way to achieve herd immunity in India,positive,,,,
Quality control of vaccines in India needs much more scrutiny,negative,,,,
Booster dose important for elderly and immunocompromised people,positive,,,,
Vaccine drives by Indian government are truly commendable,positive,,,,
"Heard so many bad stories about vaccine reactions, I am worried",negative,,,,
Waste of vaccines due to poor storage management in many centers,negative,,,,
Vaccination data privacy concerns are completely ignored by authorities,negative,,,,
Vaccine trial results to be published in medical journal next month,neutral,,,,
"Proud Indian, got my jab today! Jai Bharat",positive,,,,
Why should I trust a vaccine made in just one year of research,negative,,,,
Doctors attending seminar on latest vaccine developments today,neutral,,,,
Health worker training program for vaccine administration ongoing,neutral,,,,
Academic study on vaccine acceptance patterns among rural youth,neutral,,,,
Vaccine procurement committee meeting held by central government,neutral,,,,
Vaccine hesitancy is reducing gradually in Indian villages,positive,,,,
District health officer reviewed vaccination progress this week,neutral,,,,
Vaccine supply chain audit underway in northern states this month,neutral,,,,
"I am scared of vaccine side effects, what if something goes wrong",negative,,,,
No compensation system for vaccine injury victims in India,negative,,,,
Government data on vaccine side effects is not transparent enough,negative,,,,
New vaccine for rotavirus included in national immunization program,neutral,,,,
Vaccine hesitancy is reducing gradually in Indian villages,positive,,,,
Vaccination data privacy concerns are completely ignored by authorities,negative,,,,
Annual immunization schedule released by health department today,neutral,,,,
"My arm swelled badly after vaccination, doctor was not available",negative,,,,
Free vaccination for BPL families is an excellent government step,positive,,,,
Rich countries hoarding vaccines while poor countries suffer,negative,,,,
Vaccination drive started in our district today as per schedule,neutral,,,,
Trust deficit in government health programs is a real problem,negative,,,,
Parliamentary debate on national vaccine policy scheduled next week,neutral,,,,
Vaccine trial results to be published in medical journal next month,neutral,,,,
Parliamentary debate on national vaccine policy scheduled next week,neutral,,,,
Corporate companies profiting too much from pandemic vaccines,negative,,,,
Community health workers doing great job promoting vaccination,positive,,,,
India's vaccination rate has improved drastically this year,positive,,,,
Children vaccines causing autism is a genuine concern for parents,negative,,,,
AIIMS doctors recommend vaccination for all eligible individuals,positive,,,,
Government issued advisory on vaccine storage temperature requirements,neutral,,,,
"Thanks to vaccination drive in India, polio is now eradicated",positive,,,,
Why should I trust a vaccine made in just one year of research,negative,,,,
School vaccination programs are essential for public health,positive,,,,
"Heard so many bad stories about vaccine reactions, I am worried",negative,,,,
Corporate companies profiting too much from pandemic vaccines,negative,,,,
Pulse Polio campaign is a massive success story for India,positive,,,,
Rural areas have no proper cold storage for vaccine distribution,negative,,,,
"Got vaccinated at age 65, doctor said it is very important",positive,,,,
Serum Institute of India producing millions of doses is incredible,positive,,,,
Serum Institute of India producing millions of doses is incredible,positive,,,,
Vaccination campaign coverage to be tracked using new digital tool,neutral,,,,
"I am scared of vaccine side effects, what if something goes wrong",negative,,,,
Government is forcing vaccines without proper public consultation,negative,,,,
Booster dose important for elderly and immunocompromised people,positive,,,,
No compensation system for vaccine injury victims in India,negative,,,,
